     1        0.0000        0.0000            
     2        8.3200        0.0000            
     3        9.0000        0.0915            
     4        9.2000        0.1300            
     5        9.3200        0.1330            
     6        9.4100        0.1310            
     7        9.5200        0.1260            
     8        9.6400        0.1340            
     9       12.0000        0.3750            
    10       15.0000        0.7500            
    11       17.5000        0.9000            
    12       20.0000        0.8000            
    13       22.5000        0.6000            
    14       25.0000        0.4000            
    15       28.0000        0.3200
    16       32.0000        0.3000
    17       35.0000        0.3200
    18       40.0000        0.3200
    19       42.5000        0.3200
    20       45.0000        0.3200
    21       50.0000        0.3300
    22       70.0000        0.3500
    23      100.0000        0.3700
    24      150.0000        0.3000
    25      500.0000        0.2000
    26     1000.0000        0.1000
    27     3000.0000        0.0330
    28    10000.0000        0.0100
