XENON - 1989                                                                   

Xenon MOMENTUM-TRANSFER CROSS SECTION

              ENERGY     Elastic Qm - Not effective Qm       
     1        0.0000      178.0000            
     2        0.0010      175.0000            
     3        0.0020      170.0000            
     4        0.0030      160.0000            
     5        0.0050      144.0000            
     6        0.0070      130.0000            
     7        0.0085      123.0000            
     8        0.0100      116.0000            
     9        0.0150      103.0000            
    10        0.0200       80.0000            
    11        0.0300       61.0000            
    12        0.0400       48.0000            
    13        0.0500       39.5000            
    14        0.0700       29.0000            
    15        0.1000       20.2000            
    16        0.1500       13.0000            
    17        0.2000        8.4000            
    18        0.2500        5.3500            
    19        0.3000        3.1500            
    20        0.3500        2.1000            
    21        0.4000        1.7500            
    22        0.5000        1.3800            
    23        0.7000        1.3600            
    24        1.0000        2.4800            
    25        1.2000        3.3500            
    26        1.3000        3.9000            
    27        1.5000        5.0000            
    28        1.7000        6.3000            
    29        1.9000        7.5000            
    30        2.1000        9.1000            
    31        2.2000        9.9000            
    32        2.5000       12.5000            
    33        2.8000       15.0000            
    34        3.0000       17.0000
    35        3.3000       18.9000
    36        3.6000       21.3000
    37        4.0000       24.8000
    38        4.5000       27.6000
    39        5.0000       30.8000
    40        6.0000       30.5000
    41        7.0000       28.0000
    42        8.0000       23.5000
    43       10.0000       16.0000
    44       12.0000       13.0000
    45       15.0000       10.2000
    46       17.0000        8.3000
    47       20.0000        7.0000
    48       25.0000        5.9000
    49       30.0000        5.1000
    50       40.0000        4.3000
    51       50.0000        3.6000
    52       60.0000        3.2000
    53       75.0000        2.7500
    54      100.0000        2.3500
    55      150.0000        1.9000
    56      200.0000        1.6000
    57      300.0000        1.3000
    58      500.0000        0.9700
    59      700.0000        0.7800
    60     1000.0000        0.5800
    61     1500.0000        0.3700
    62     2000.0000        0.2500
    63     3000.0000        0.1500
    64     5000.0000        0.0730
    65     7000.0000        0.0450
    66    10000.0000        0.0270

XE SINGLE LEVEL EXCITATION-SHAPER                                             
ENERGY LOSS =    8.320 ,   LOWER LIMIT =    7.998 ,   UPPER LIMIT = 1000.008 ,
QSCALE =     1.000000

              ENERGY     CROSS SECTION       
     1        0.0000        0.0000            
     2        8.3200        0.0000            
     3        9.0000        0.0915            
     4        9.2000        0.1300            
     5        9.3200        0.1330            
     6        9.4100        0.1310            
     7        9.5200        0.1260            
     8        9.6400        0.1340            
     9       12.0000        0.3750            
    10       15.0000        0.7500            
    11       17.5000        0.9000            
    12       20.0000        0.8000            
    13       22.5000        0.6000            
    14       25.0000        0.4000            
    15       28.0000        0.3200
    16       32.0000        0.3000
    17       35.0000        0.3200
    18       40.0000        0.3200
    19       40.0000        0.3200
    20       45.0000        0.3200
    21       50.0000        0.3300
    22       70.0000        0.3500
    23      100.0000        0.3700
    24      150.0000        0.3000
    25      500.0000        0.2000
    26     1000.0000        0.1000
    27     3000.0000        0.0330
    28    10000.0000        0.0100

ENERGY LOSS =   12.100 ,   LOWER LIMIT =   10.991 ,   UPPER LIMIT = 9998.996 ,
XE IONIZATION RAPP,ENGLANDER-GOLDEN,1965                                         
EBR=    8.700000,    QSCALE=    1.000000

              ENERGY     CROSS SECTION       
     1        0.0000        0.0000            
     2       12.1000        0.0000            
     3       12.5000        0.1100            
     4       13.0000        0.2560            
     5       15.0000        0.9100            
     6       17.0000        1.5300            
     7       20.0000        2.2800            
     8       24.0000        3.1000            
     9       30.0000        3.8500            
    10       35.0000        4.1000            
    11       40.0000        4.4800            
    12       50.0000        4.8400            
    13       60.0000        5.0300            
    14       75.0000        5.2000            
    15      100.0000        5.3800
    16      150.0000        5.2000
    17      200.0000        4.6000
    18      300.0000        3.9000
    19      500.0000        2.9000
    20      700.0000        2.4000
    21     1000.0000        1.8800
    22     1500.0000        1.2500
    23     2000.0000        0.9400
    24     3000.0000        0.6300
    25     5000.0000        0.3800
    26     7000.0000        0.2700
    27    10000.0000        0.1900
    28    15000.0000        0.1250

OTHER CROSS SECTION SOURCES FOR XENON


A detailed set of electron-xenon excitation cross sections is 
given by Puech and Mizzi, J. Phys. D 24, 1974 (1991).  This set has 
been compared with swarm experiments and is available in analytic form.
I have not had occasion to check or to use these cross sections.
A word of caution: Note that although most coefficients calculated by
Puech and Mizzi for Ne in the same paper agree with experiment, the
calculated metastable excitation coefficients for Ne are not in
agreement with the measurements and model of Tachibana and Phelps 
Phys. Rev. A 36, 999 (1987).  How this problem carrys over to Xe is 
unknown.

See Pack, Voshall, and Phelps, J. Appl. Phys. 71, 5363 (1992) for 
an analysis of He, Ar, Kr, and Xe using the two-term approximation 
over a very wide range of E/n.  I do not have files listing the 
inelastic cross sections used in these calculations.

M. Hayashi has assembled references and derived an electron-Xe cross 
section set in a report entitled "Bibliography of electron and photon 
cross sections with atoms and molecules published in the 20th century 
- xenon", National Institute for Fusion Research Research, Research 
Report NIFS-Data Series NIFS-DATA-79, Sept. 2003. In 
an appendix to this reoprt Hayashi gives a set of recommended 
electron-Xe cross sections. This set presumably replaces the cross 
sections in Hayashi, J. Phys. D 16, 581 and 591 (1983).  The report 
cited is one of a series that reviews electron collisions with Ar, N2, 
SF6 and CO2.

Latest change for Xe on 12/29/03
