66
     1        0.0000        7.50            
     2        0.0010        7.50            
     3        0.0020        7.10            
     4        0.0030        6.70            
     5        0.0050        6.10            
     6        0.0070        5.40            
     7        0.0085        5.05            
     8        0.0100        4.60            
     9        0.0150        3.75            
    10        0.0200        3.25            
    11        0.0300        2.50            
    12        0.0400        2.05            
    13        0.0500        1.73            
    14        0.0700        1.130            
    15        0.1000        0.590            
    16        0.1200        0.400            
    17        0.1500        0.230            
    18        0.1700        0.160            
    19        0.2000        0.103            
    20        0.2500        0.091            
    21        0.3000        0.153            
    22        0.3500        0.235            
    23        0.4000        0.33            
    24        0.5000        0.51            
    25        0.7000        0.86            
    26        1.0000        1.38            
    27        1.2000        1.66            
    28        1.3000        1.82
    29        1.5000        2.10
    30        1.7000        2.3
    31        1.9000        2.5
    32        2.1000        2.8
    33        2.2000        2.9
    34        2.5000        3.3
    35        2.8000        3.8
    36        3.0000        4.1
    37        3.3000        4.5
    38        3.6000        4.9
    39        4.0000        5.4
    40        4.5000        6.1
    41        5.0000        6.7
    42        6.0000        8.1
    43        7.0000        9.6
    44        8.0000       11.7
    45       10.0000       15.0
    46       12.0000       15.2
    47       15.0000       14.1
    48       17.0000       13.1
    49       20.0000       11.0
    50       25.0000       9.45
    51       30.0000       8.74
    52       50.0000       6.90
    53       75.0000       5.85
    54      100.0000       5.25
    55      150.           4.24
    56      200.           3.76
    57        300.           3.02       
    58      500.           2.10
    59      700.           1.64
    60     1000.           1.21
    61     1500.           0.88
    62     2000.           0.66
    63     3000.           0.45
    64     5000.           0.31
    65     7000.           0.23
    66    10000.           0.175
