32
     2       11.5000        0.0000            
     3       12.7000        0.0700            
     4       13.7000        0.1410            
     5       14.7000        0.2280            
     6       15.9000        0.3800            
     7       16.5000        0.4800            
     8       17.5000        0.6100            
     9       18.5000        0.7500            
    10       19.9000        0.9200            
    11       22.2000        1.1700            
    12       24.7000        1.3300
    13       27.0000        1.4200
    14       30.0000        1.4400
    15       33.0000        1.4100
    16       35.3000        1.3400
    17       42.0000        1.2500
    18       48.0000        1.1600
    19       52.0000        1.1100
    20       70.            0.94   
    21       100.           0.76
    22       150.           0.60
    23       200.           0.505
    24       300.           0.395
    25       500.           0.28
    26       700.           0.225
    27      1000.           0.177
    28      1500.           0.136
    29      2000.           0.11
    30      3000.           0.083
    31      5000.           0.058
    32      7000.           0.045
    33     10000.           0.035
