29
     2       15.8000        0.0000            
     3       16.0000        0.0202            
     4       17.0000        0.1340            
     5       18.0000        0.2940            
     6       20.0000        0.6300            
     7       22.0000        0.9300            
     8       23.7500        1.1500            
     9       25.0000        1.3000            
    10       26.5000        1.4500            
    11       30.0000        1.8000            
    12       32.5000        1.9900            
    13       35.0000        2.1700            
    14       37.5000        2.3100            
    15       40.0000        2.3900            
    16       50.0000        2.5300
    17       55.0000        2.6000
    18      100.0000        2.8500
    19      150.0000        2.5200
    20      200.0000        2.3900
    21      300.0000        2.0000
    22      500.0000        1.4500
    23      700.0000        1.1500
    24     1000.0000        0.8600
    25     1500.0000        0.6400
    26     2000.0000        0.5200
    27     3000.0000        0.3600
    28     5000.0000        0.2400
    29     7000.0000        0.1800
    30    10000.0000        0.1350
