101
0 0.1d0 1.4471663941531906d-68
1 0.10715193052376065d0 6.265288515161701d-65
2 0.11481536214968828d0 1.5405495894213767d-61
3 0.12302687708123816d0 2.2342932162040182d-58
4 0.13182567385564073d0 1.980000176536d-55
5 0.14125375446227545d0 1.1080751737785943d-52
6 0.15135612484362085d0 4.0385733885740373d-50
7 0.16218100973589303d0 9.865968459739368d-48
8 0.17378008287493757d0 1.659530645383203d-45
9 0.18620871366628677d0 1.9709864769145477d-43
10 0.199526231496888d0 1.6921669469319523d-41
11 0.21379620895022325d0 1.0735166383904113d-39
12 0.22908676527677735d0 5.136943969264775d-38
13 0.24547089156850307d0 1.8900583214357513d-36
14 0.26302679918953825d0 5.444020424376489d-35
15 0.2818382931264454d0 1.2483262678858063d-33
16 0.30199517204020165d0 2.3147879629408124d-32
17 0.32359365692962827d0 3.522334798553237d-31
18 0.34673685045253166d0 4.4588848161202766d-30
19 0.37153522909717257d0 4.756007602546886d-29
20 0.39810717055349726d0 4.325672176260965d-28
21 0.42657951880159267d0 3.392245230730728d-27
22 0.457088189614875d0 2.3176507532285738d-26
23 0.4897788193684462d0 1.392961561986454d-25
24 0.5248074602497725d0 7.4316187242415995d-25
25 0.562341325190349d0 3.5492973821617854d-24
26 0.6025595860743577d0 1.5294451698453123d-23
27 0.6456542290346554d0 5.990290209889365d-23
28 0.6918309709189364d0 2.1471369776601695d-22
29 0.7413102413009174d0 7.088304788753442d-22
30 0.7943282347242814d0 2.1680821300992133d-21
31 0.8511380382023763d0 6.178106047759534d-21
32 0.9120108393559095d0 1.648541647338861d-20
33 0.9772372209558104d0 4.138645946857282d-20
34 1.0471285480508992d0 9.8178585185699d-20
35 1.1220184543019631d0 2.20956730264579d-19
36 1.2022644346174125d0 4.734955340652429d-19
37 1.2882495516931336d0 9.69378195530328d-19
38 1.3803842646028845d0 1.901800100172961d-18
39 1.479108388168207d0 3.585440437892218d-18
40 1.584893192461113d0 6.512314262199674d-18
41 1.6982436524617437d0 1.1422486927896834d-17
42 1.8197008586099828d0 1.9388928141918186d-17
43 1.9498445997580447d0 3.1913685692484277d-17
44 2.0892961308540388d0 5.103016229199541d-17
45 2.238721138568339d0 7.940386767352607d-17
46 2.39883291901949d0 1.2042193080963905d-16
47 2.570395782768863d0 1.7826024287130023d-16
48 2.754228703338166d0 2.579166813781803d-16
49 2.951209226666385d0 3.6519970004343335d-16
50 3.1622776601683786d0 5.066638153344436d-16
51 3.3884415613920247d0 6.894871739856235d-16
52 3.6307805477010127d0 9.212912018937223d-16
53 3.8904514499428053d0 1.2099077899274863d-15
54 4.168693834703353d0 1.5631048077490207d-15
55 4.46683592150963d0 1.9882851181908973d-15
56 4.786300923226382d0 2.4921770071448548d-15
57 5.128613839913648d0 3.080534706816112d-15
58 5.495408738576245d0 3.757866550840213d-15
59 5.888436553555889d0 4.52720568190241d-15
60 6.309573444801932d0 5.389934739750347d-15
61 6.7608297539198166d0 6.345672185381197d-15
62 7.244359600749899d0 7.392224297225839d-15
63 7.7624711662869155d0 8.525603581663178d-15
64 8.317637711026707d0 9.740111292480592d-15
65 8.912509381337452d0 1.1028478744073568d-14
66 9.549925860214357d0 1.2382059028811857d-14
67 10.232929922807537d0 1.379105783898272d-14
68 10.964781961431846d0 1.524478996362481d-14
69 11.748975549395292d0 1.6731947465625236d-14
70 12.589254117941667d0 1.8240867072352134d-14
71 13.489628825916531d0 1.97597877880221d-14
72 14.45439770745927d0 2.1277094192600022d-14
73 15.488166189124808d0 2.278154480808096d-14
74 16.5958690743756d0 2.4262486809570715d-14
75 17.78279410038922d0 2.571005747877066d-14
76 19.054607179632466d0 2.7115369532537666d-14
77 20.417379446695286d0 2.8470673274153685d-14
78 21.877616239495516d0 2.976948534739557d-14
79 23.44228815319921d0 3.100667325451303d-14
80 25.11886431509579d0 3.217848713404662d-14
81 26.915348039269148d0 3.328253470710112d-14
82 28.840315031266048d0 3.431770016198113d-14
83 30.90295432513589d0 3.5284011606334735d-14
84 33.11311214825909d0 3.618246409239539d-14
85 35.48133892335753d0 3.7014806770640734d-14
86 38.018939632056096d0 3.7783304676180376d-14
87 40.73802778041125d0 3.849048884340149d-14
88 43.65158322401657d0 3.9138912588981075d-14
89 46.77351412871979d0 3.9730935398050555d-14
90 50.118723362727195d0 4.026855681736982d-14
91 53.70317963702524d0 4.07533194672226d-14
92 57.54399373371565d0 4.118629238800923d-14
93 61.65950018614817d0 4.15681346784693d-14
94 66.06934480075955d0 4.189922721093005d-14
95 70.79457843841374d0 4.217984995375844d-14
96 75.85775750291832d0 4.241037636965918d-14
97 81.28305161640986d0 4.259145554889106d-14
98 87.096358995608d0 4.272415683528594d-14
99 93.32543007969903d0 4.28100592821253d-14
100 99.99999999999993d0 4.2851277451464754d-14
